Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,AI_Investment_USD,Productivity_Gain_Percent,Annual_Savings_USD,Satisfaction_Score,AI_Usage_Hours_Per_Week,ROI_Percent,Adoption_Status
ORG_84,Finance,Small,153,Gemini,2024,13588,31.39,29858.41,6,38.05,219.74,AI Leader
ORG_85,Healthcare,Large,5451,Copilot,2026,271896,10.09,526057.07,9,3.85,193.48,Slow Adopter
ORG_86,Manufacturing,Small,59,Claude,2026,15292,25.34,29067.12,7,7.54,190.08,Slow Adopter
ORG_87,Education,Small,72,Copilot,2023,13897,10.9,34738.89,3,3.17,249.97,Slow Adopter
ORG_88,Manufacturing,Small,181,Gemini,2026,13709,15.47,23256.07,5,4.22,169.64,Slow Adopter
ORG_89,Manufacturing,Small,180,Gemini,2023,15411,19.29,42321.55,6,26.39,274.62,Early Adopter
ORG_90,IT,Small,137,Gemini,2026,11442,20.81,25743.5,9,9.83,224.99,Slow Adopter
ORG_91,Healthcare,Medium,517,ChatGPT,2022,88486,24.17,110333.04,8,4.35,124.69,Slow Adopter
ORG_92,Healthcare,Medium,393,Gemini,2024,70404,23.47,175723.34,5,21.39,249.59,Early Adopter
ORG_93,Healthcare,Small,129,Copilot,2024,19912,42.24,13134.18,10,39.22,65.96,AI Leader
ORG_94,Healthcare,Small,91,Claude,2021,24012,22.45,56949.09,3,9.61,237.17,Slow Adopter
ORG_95,Manufacturing,Medium,690,Claude,2026,96606,17.25,60726.94,8,8.22,62.86,Slow Adopter
ORG_96,IT,Small,166,Midjourney,2022,8482,23.5,12174.41,4,26.79,143.53,Early Adopter
ORG_97,Retail,Large,1804,Gemini,2024,218934,26.11,403869.42,6,19.14,184.47,Early Adopter
ORG_98,Healthcare,Large,5223,Copilot,2022,438583,30.01,511981.14,3,21.96,116.74,Early Adopter
ORG_99,Manufacturing,Medium,693,Gemini,2026,106604,22.91,188183.32,9,9.35,176.53,Slow Adopter
ORG_100,Finance,Medium,233,Copilot,2024,54833,26.39,121225.13,9,33.7,221.08,AI Leader
ORG_101,Finance,Medium,654,Claude,2025,62505,24.14,60368.79,8,17.96,96.58,Early Adopter
ORG_102,Healthcare,Small,55,ChatGPT,2025,22041,26.68,27632.09,5,33.97,125.37,AI Leader
ORG_103,Healthcare,Large,5150,Claude,2025,276054,19.74,264026.47,3,30.11,95.64,AI Leader
ORG_104,Retail,Small,128,Copilot,2022,15944,23.27,26946.65,3,20.55,169.01,Early Adopter
ORG_105,Healthcare,Medium,224,Copilot,2023,71382,27.34,169628.37,6,32.58,237.63,AI Leader
ORG_106,IT,Small,93,Gemini,2025,16996,21.77,40355.89,10,6.21,237.44,Slow Adopter
ORG_107,Education,Medium,909,Claude,2026,102917,29.27,69436.16,5,26.93,67.47,Early Adopter
ORG_108,Education,Medium,887,Copilot,2021,80792,31.39,105192.88,9,32.43,130.2,AI Leader
ORG_109,Finance,Medium,725,ChatGPT,2025,82230,24.81,129123.36,4,7.46,157.03,Slow Adopter
ORG_110,Retail,Medium,696,Copilot,2024,87477,35.49,97319.11,3,30.3,111.25,AI Leader
ORG_111,Healthcare,Large,5346,Gemini,2026,247875,30.54,465426.42,5,37.75,187.77,AI Leader
ORG_112,Retail,Large,5361,Gemini,2021,213233,24.47,294297.52,3,22.33,138.02,Early Adopter
ORG_113,Manufacturing,Large,1145,ChatGPT,2023,166572,15.18,450429.77,8,3.66,270.41,Slow Adopter
ORG_114,Education,Medium,579,Claude,2024,77281,34.31,114644.55,5,37.96,148.35,AI Leader
ORG_115,Education,Medium,442,ChatGPT,2024,93119,22.81,184888.84,4,9.53,198.55,Slow Adopter
ORG_116,IT,Medium,219,ChatGPT,2026,84750,23.81,218176.97,4,17.66,257.44,Early Adopter
ORG_117,Healthcare,Small,139,ChatGPT,2025,11782,30.73,30105.91,7,36.11,255.52,AI Leader
ORG_118,IT,Large,1954,ChatGPT,2023,247101,27.36,192319.12,5,3.19,77.83,Slow Adopter
ORG_119,Retail,Small,47,Midjourney,2021,19764,25.88,36699.8,10,21.32,185.69,Early Adopter
ORG_120,Finance,Medium,948,Gemini,2025,102973,35.6,219789.4,6,35.12,213.44,AI Leader
ORG_121,Finance,Small,174,ChatGPT,2025,20461,32.23,12508.21,4,35.59,61.13,AI Leader
ORG_122,Healthcare,Small,58,Claude,2022,10893,28.2,8551.18,7,33.79,78.5,AI Leader
ORG_123,Healthcare,Large,3064,Gemini,2021,223069,17.98,507317.21,7,3.34,227.43,Slow Adopter
ORG_124,Finance,Small,82,ChatGPT,2024,15921,32.9,11928.67,8,30.89,74.92,AI Leader
ORG_125,Healthcare,Small,31,Copilot,2021,25607,18.46,48849.73,4,15.8,190.77,Early Adopter
ORG_126,Retail,Small,158,ChatGPT,2026,12085,42.94,14525.91,5,33.3,120.2,AI Leader
ORG_127,Education,Large,8266,ChatGPT,2024,322982,28.24,742926.46,7,32.41,230.02,AI Leader
ORG_128,Retail,Medium,738,Midjourney,2026,76791,20.88,153947.3,7,4.16,200.48,Slow Adopter
ORG_129,Manufacturing,Medium,652,ChatGPT,2026,58151,36.88,145951.46,9,36.08,250.99,AI Leader
ORG_130,Retail,Medium,691,Midjourney,2024,125542,5.04,80258.52,3,9.86,63.93,Slow Adopter
ORG_131,Education,Small,43,Gemini,2026,7512,34.87,13735.75,3,32.47,182.85,AI Leader
ORG_132,IT,Small,136,ChatGPT,2025,12625,20.17,24240.57,3,39.42,192.0,AI Leader
ORG_133,Healthcare,Medium,301,Copilot,2026,79899,23.41,156597.46,3,30.72,195.99,AI Leader
ORG_134,Retail,Small,187,Gemini,2020,12526,32.53,16391.63,3,22.16,130.86,Early Adopter
ORG_135,Manufacturing,Medium,885,Copilot,2025,87714,12.47,188957.59,6,4.52,215.42,Slow Adopter
ORG_136,Manufacturing,Medium,272,Copilot,2021,84094,32.75,195394.93,10,29.24,232.35,Early Adopter
ORG_137,Healthcare,Medium,658,Gemini,2026,63768,31.48,61268.22,4,33.24,96.08,AI Leader
ORG_138,Manufacturing,Small,31,ChatGPT,2023,13144,20.47,29408.57,4,35.26,223.74,AI Leader
ORG_139,Education,Medium,894,ChatGPT,2020,81064,17.61,84224.96,5,3.77,103.9,Slow Adopter
ORG_140,Healthcare,Small,116,ChatGPT,2026,12463,43.72,16962.85,4,38.55,136.11,AI Leader
ORG_141,Retail,Medium,351,Gemini,2024,77049,38.06,194281.45,4,24.76,252.15,Early Adopter
ORG_142,Finance,Medium,494,Gemini,2023,61170,19.67,149205.6,6,36.76,243.92,AI Leader
ORG_143,IT,Small,27,Gemini,2024,14865,35.24,17004.2,8,26.4,114.39,Early Adopter
ORG_144,Retail,Small,33,ChatGPT,2024,8043,33.91,11886.76,8,24.94,147.79,Early Adopter
ORG_145,Healthcare,Medium,648,ChatGPT,2025,92128,32.64,144867.01,9,38.88,157.25,AI Leader
ORG_146,Finance,Small,95,ChatGPT,2026,8193,12.02,15830.38,5,12.2,193.22,Slow Adopter
ORG_147,Education,Medium,504,Copilot,2026,124352,41.18,83964.1,9,24.66,67.52,Early Adopter
ORG_148,Manufacturing,Small,56,ChatGPT,2026,16002,13.39,33829.14,8,7.52,211.41,Slow Adopter
ORG_149,Retail,Large,2239,ChatGPT,2025,238311,29.0,413305.45,7,14.96,173.43,Slow Adopter
ORG_150,Finance,Small,57,ChatGPT,2022,15335,22.92,14679.28,10,14.39,95.72,Slow Adopter
ORG_151,Education,Small,27,ChatGPT,2022,19567,37.29,52403.39,9,38.64,267.82,AI Leader
ORG_152,Finance,Small,164,Claude,2026,16037,33.42,33490.54,5,31.44,208.83,AI Leader
ORG_153,Healthcare,Large,4124,Gemini,2025,244387,24.92,614794.01,4,15.9,251.57,Early Adopter
ORG_154,IT,Small,178,Claude,2025,14414,28.58,37231.74,8,17.95,258.3,Early Adopter
ORG_155,Education,Medium,564,ChatGPT,2026,111059,17.8,215635.48,3,23.15,194.16,Early Adopter
ORG_156,Education,Small,112,ChatGPT,2024,15218,22.01,14770.25,6,16.81,97.06,Early Adopter
ORG_157,Manufacturing,Medium,976,Claude,2024,34341,27.13,56619.04,8,22.21,164.87,Early Adopter
ORG_158,Healthcare,Medium,525,Copilot,2025,101250,27.83,114985.68,7,22.29,113.57,Early Adopter
ORG_159,Healthcare,Small,87,ChatGPT,2026,17423,32.46,36138.98,7,6.75,207.42,Slow Adopter
ORG_160,Education,Large,8311,Claude,2021,164032,22.55,163790.64,7,17.8,99.85,Early Adopter
ORG_161,Retail,Small,160,Gemini,2022,22336,30.73,40439.29,7,32.36,181.05,AI Leader
ORG_162,Education,Medium,340,Copilot,2025,96220,39.82,94728.74,3,35.72,98.45,AI Leader
ORG_163,IT,Large,7295,ChatGPT,2023,310611,33.69,645180.75,4,31.88,207.71,AI Leader
ORG_164,IT,Small,183,Copilot,2022,18327,21.81,19735.02,3,8.66,107.68,Slow Adopter
ORG_165,IT,Small,56,Gemini,2025,18854,18.5,13737.03,4,23.23,72.86,Early Adopter
ORG_166,IT,Large,5358,ChatGPT,2025,341228,21.3,657574.58,9,18.84,192.71,Early Adopter
ORG_167,Manufacturing,Medium,366,ChatGPT,2025,63712,22.35,69996.81,6,26.88,109.86,Early Adopter
ORG_168,IT,Medium,980,ChatGPT,2024,42329,36.25,80602.31,5,32.61,190.42,AI Leader
ORG_169,Healthcare,Medium,580,ChatGPT,2024,99459,29.15,219548.89,6,4.94,220.74,Slow Adopter
ORG_170,Manufacturing,Small,169,Midjourney,2024,11451,22.88,17186.25,9,9.49,150.09,Slow Adopter
ORG_171,Manufacturing,Medium,211,Copilot,2023,54430,29.52,149310.32,10,32.43,274.32,AI Leader
ORG_172,Manufacturing,Large,9555,Copilot,2023,266804,16.37,235046.23,8,6.44,88.1,Slow Adopter
ORG_173,Retail,Medium,937,ChatGPT,2021,60279,19.27,160420.94,7,11.41,266.13,Slow Adopter
ORG_174,IT,Medium,379,Claude,2023,79830,37.69,222146.74,8,35.31,278.27,AI Leader
ORG_175,Education,Small,31,ChatGPT,2026,16958,43.64,37089.33,5,33.25,218.71,AI Leader
ORG_176,Healthcare,Medium,725,Copilot,2021,99943,20.43,186429.61,4,9.42,186.54,Slow Adopter
ORG_177,Education,Large,5259,ChatGPT,2025,250905,25.25,370601.4,8,36.24,147.71,AI Leader
ORG_178,IT,Medium,681,ChatGPT,2021,86772,13.18,230829.85,6,8.0,266.02,Slow Adopter
ORG_179,Retail,Small,79,ChatGPT,2026,9925,19.33,7294.57,4,3.65,73.5,Slow Adopter
ORG_180,Healthcare,Small,108,Midjourney,2021,11857,7.12,11566.06,10,5.14,97.55,Slow Adopter
ORG_181,Education,Small,134,Claude,2022,6944,33.41,13697.53,6,25.87,197.26,Early Adopter
ORG_182,Retail,Large,8857,Midjourney,2022,283281,11.78,470132.2,7,19.64,165.96,Early Adopter
ORG_183,Education,Small,152,Copilot,2020,17031,33.61,35733.5,8,20.81,209.81,Early Adopter
ORG_184,Education,Small,101,ChatGPT,2021,5000,35.73,12287.93,3,16.74,245.76,Early Adopter
ORG_185,Education,Medium,907,ChatGPT,2026,41586,18.87,66986.02,5,27.11,161.08,Early Adopter
ORG_186,Education,Large,3672,Copilot,2026,278452,21.33,322093.38,3,14.67,115.67,Slow Adopter
ORG_187,Education,Large,1775,Gemini,2026,338450,27.08,281768.31,6,25.72,83.25,Early Adopter
ORG_188,Retail,Medium,300,ChatGPT,2020,57530,38.1,72049.32,3,30.61,125.24,AI Leader
ORG_189,Healthcare,Large,6330,ChatGPT,2025,359829,20.85,270292.11,7,9.44,75.12,Slow Adopter
ORG_190,Finance,Small,131,ChatGPT,2026,13890,30.03,37664.38,3,31.46,271.16,AI Leader
ORG_191,Manufacturing,Large,3196,Copilot,2022,383740,21.66,915562.78,7,7.22,238.59,Slow Adopter
ORG_192,Retail,Small,29,Claude,2023,19516,7.88,28396.49,3,11.31,145.5,Slow Adopter
ORG_193,Finance,Large,3461,Copilot,2026,132701,31.15,317829.94,3,21.35,239.51,Early Adopter
ORG_194,IT,Small,194,Copilot,2023,16955,34.61,16909.36,10,20.04,99.73,Early Adopter
ORG_195,Healthcare,Small,169,Claude,2026,16693,13.21,13389.72,4,4.6,80.21,Slow Adopter
ORG_196,Finance,Small,170,Copilot,2026,18465,35.14,15382.22,7,23.06,83.3,Early Adopter
ORG_197,Education,Small,127,Copilot,2025,21965,20.94,49020.75,4,8.92,223.18,Slow Adopter
ORG_198,Healthcare,Large,6343,Copilot,2026,312985,30.93,317258.63,7,14.5,101.37,Slow Adopter
ORG_199,IT,Small,156,ChatGPT,2024,19341,35.37,40469.75,8,31.16,209.24,AI Leader
ORG_200,Healthcare,Large,6189,Midjourney,2026,355939,27.03,383652.42,7,16.63,107.79,Early Adopter
ORG_201,Finance,Small,73,ChatGPT,2025,12814,20.88,19030.32,6,25.92,148.51,Early Adopter
ORG_202,Retail,Medium,714,Copilot,2021,79440,22.89,152414.52,6,23.77,191.86,Early Adopter
ORG_203,Healthcare,Small,79,Gemini,2023,20858,15.36,44988.58,10,8.51,215.69,Slow Adopter
ORG_204,Retail,Medium,631,ChatGPT,2024,77684,29.37,148849.97,3,30.21,191.61,AI Leader
ORG_205,Healthcare,Medium,317,ChatGPT,2025,95263,22.61,264876.69,10,26.54,278.05,Early Adopter
ORG_206,Retail,Small,156,ChatGPT,2026,15739,16.35,19787.01,4,23.93,125.72,Early Adopter
ORG_207,Education,Small,54,Claude,2024,5000,27.28,13310.89,7,34.15,266.22,AI Leader
ORG_208,Retail,Small,23,Midjourney,2020,19725,37.99,18730.82,10,36.65,94.96,AI Leader
ORG_209,Retail,Small,76,Copilot,2025,19653,30.04,53940.34,8,38.39,274.46,AI Leader
ORG_210,Manufacturing,Small,89,Copilot,2021,20528,29.32,27939.12,6,4.24,136.1,Slow Adopter
ORG_211,Finance,Small,26,ChatGPT,2021,15351,33.15,40849.16,5,30.1,266.1,AI Leader
ORG_212,Finance,Large,4959,Copilot,2023,289025,30.44,294984.56,4,39.31,102.06,AI Leader
ORG_213,IT,Medium,583,ChatGPT,2026,59431,12.05,146875.12,7,3.82,247.14,Slow Adopter
ORG_214,IT,Medium,772,ChatGPT,2023,90625,37.4,70668.99,9,23.07,77.98,Early Adopter
ORG_215,Manufacturing,Large,2537,ChatGPT,2025,404862,12.1,728731.4,10,6.61,180.0,Slow Adopter
ORG_216,Manufacturing,Large,1610,Claude,2021,261239,26.62,592629.83,9,10.45,226.85,Slow Adopter
ORG_217,Retail,Medium,575,Claude,2022,71829,10.11,198749.21,8,8.98,276.7,Slow Adopter
ORG_218,Finance,Medium,265,Copilot,2021,115408,30.54,163677.61,3,36.64,141.83,AI Leader
ORG_219,IT,Small,190,Midjourney,2025,13647,15.89,30930.38,4,10.54,226.65,Slow Adopter
ORG_220,Education,Medium,766,ChatGPT,2025,93572,28.02,219442.71,4,36.19,234.52,AI Leader
ORG_221,Healthcare,Small,46,Midjourney,2023,14505,17.17,32082.12,3,8.21,221.18,Slow Adopter
ORG_222,Healthcare,Small,129,Midjourney,2021,9446,31.12,20737.83,8,32.73,219.54,AI Leader
ORG_223,Finance,Small,121,Copilot,2026,21233,34.44,46342.68,7,7.8,218.26,Slow Adopter
ORG_224,Finance,Small,152,ChatGPT,2026,24491,24.09,31631.85,8,13.97,129.16,Slow Adopter
ORG_225,Healthcare,Large,3504,Gemini,2023,107903,32.79,91553.0,6,33.65,84.85,AI Leader
ORG_226,Finance,Small,182,Gemini,2022,9003,36.92,16835.15,4,19.66,186.99,Early Adopter
ORG_227,IT,Large,2674,ChatGPT,2026,146834,24.2,309807.97,7,4.15,210.99,Slow Adopter
ORG_228,Retail,Medium,653,ChatGPT,2026,73720,28.42,184746.03,9,33.97,250.61,AI Leader
ORG_229,Manufacturing,Small,40,Gemini,2020,13956,30.39,33163.24,8,27.17,237.63,Early Adopter
ORG_230,Retail,Medium,409,Claude,2025,76286,10.66,123033.16,5,3.01,161.28,Slow Adopter
ORG_231,Retail,Small,54,Copilot,2024,13835,27.9,34426.35,3,20.73,248.84,Early Adopter
ORG_232,Healthcare,Large,3946,Copilot,2025,337781,29.18,669523.77,9,3.67,198.21,Slow Adopter
ORG_233,IT,Small,194,ChatGPT,2024,13826,16.63,8672.9,6,7.45,62.73,Slow Adopter
ORG_234,Retail,Small,72,ChatGPT,2023,13125,35.02,17704.22,6,30.5,134.89,AI Leader
ORG_235,Education,Large,3479,Copilot,2020,412809,40.07,476825.75,4,39.83,115.51,AI Leader
ORG_236,Education,Medium,400,Copilot,2026,65498,33.29,170523.29,10,33.68,260.35,AI Leader
ORG_237,Manufacturing,Medium,858,ChatGPT,2026,120100,26.1,241056.58,5,25.46,200.71,Early Adopter
ORG_238,Retail,Small,169,Midjourney,2025,22765,25.03,39014.32,10,12.72,171.38,Slow Adopter
ORG_239,Manufacturing,Small,172,ChatGPT,2020,12746,23.52,34890.54,5,25.35,273.74,Early Adopter
ORG_240,Education,Medium,623,ChatGPT,2024,74261,25.32,45808.71,3,20.55,61.69,Early Adopter
ORG_241,Manufacturing,Large,5987,Gemini,2023,85922,25.31,227681.11,10,19.23,264.99,Early Adopter
ORG_242,IT,Large,5912,ChatGPT,2025,211864,23.3,441932.3,9,15.77,208.59,Early Adopter
ORG_243,Manufacturing,Large,2356,ChatGPT,2026,322743,22.63,700633.68,5,17.43,217.09,Early Adopter
ORG_244,Retail,Medium,500,Midjourney,2025,66474,30.73,77557.6,3,29.69,116.67,Early Adopter
ORG_245,IT,Medium,857,Gemini,2021,85415,20.03,154522.91,4,19.88,180.91,Early Adopter
ORG_246,IT,Small,141,Copilot,2023,9275,32.6,17678.65,7,18.27,190.61,Early Adopter
ORG_247,Finance,Medium,762,Gemini,2026,117281,37.24,207116.06,6,35.33,176.6,AI Leader
ORG_248,Healthcare,Medium,495,Copilot,2026,154987,23.44,107905.97,5,22.7,69.62,Early Adopter
ORG_249,Education,Large,5318,Copilot,2024,193455,28.4,402488.27,7,5.49,208.05,Slow Adopter
ORG_250,IT,Small,141,ChatGPT,2025,5448,19.45,10246.8,5,17.22,188.08,Early Adopter
ORG_251,Finance,Small,137,Copilot,2025,17356,17.25,12123.38,10,16.86,69.85,Early Adopter
ORG_252,IT,Small,167,Gemini,2023,12048,22.25,18086.26,5,17.02,150.12,Early Adopter
ORG_253,IT,Small,83,ChatGPT,2025,10074,21.38,9753.56,6,11.06,96.82,Slow Adopter
ORG_254,Finance,Medium,575,Gemini,2026,49251,16.84,32080.85,4,8.02,65.14,Slow Adopter
ORG_255,Healthcare,Small,49,Claude,2022,18659,21.35,35946.08,6,16.7,192.65,Early Adopter
